run_id,condition_index,repetition,seed,homophily,social_influence,mean_margin,control_change_rate,party_gap,mean_voter_ideology,switch_rate,ideology_sd,mean_degree
88,8,8,5887328138672343569,0.25,0.2,3.352197520697158,57.57575757575758,0.019999999999999997,-0.02016123141128851,0.0,0.018181119656488803,6.0
89,8,9,14384507004093180077,0.25,0.2,3.598487144593532,49.494949494949495,0.02,0.0005401030325952065,0.0,0.01950087163792462,6.0
90,9,0,11966550756878304246,0.25,0.4,3.700844171391023,46.464646464646464,0.019999999999999997,0.01111822409021071,0.0,0.013361224866307931,6.0
91,9,1,8263427643908703571,0.25,0.4,4.056894073725658,36.36363636363637,0.020000000000000004,0.01828564561124221,0.0,0.01745259509582934,6.0
92,9,2,2522221857488168668,0.25,0.4,3.1600166758316934,49.494949494949495,0.020000000000000004,0.02492051110326679,0.0,0.0147604334447553,6.0
93,9,3,6109712612164009920,0.25,0.4,3.3125079980536407,50.505050505050505,0.020000000000000004,-0.009568311740341184,0.0,0.024861645323963625,6.0
94,9,4,2028058598902513421,0.25,0.4,3.343996832574671,55.55555555555556,0.019999999999999997,0.00994629881606104,0.0,0.014327219949005196,6.0
95,9,5,18070655103028779026,0.25,0.4,3.3289827192598658,51.515151515151516,0.020000000000000004,-0.032792951222593444,0.0,0.013716949938514023,6.0
96,9,6,17296021371035898062,0.25,0.4,4.661700836376022,30.303030303030305,0.019999999999999997,-0.016866616966396113,0.0,0.01382027354255443,6.0
97,9,7,12833603396820638724,0.25,0.4,3.7724784134265033,47.474747474747474,0.02,-0.011097227383716785,0.0,0.03654807460647239,6.0
98,9,8,6325309183120637838,0.25,0.4,5.62788468046237,18.181818181818183,0.020953065764704466,-0.059822607335442576,0.0,0.03667802418564831,6.0
99,9,9,15821691148133065416,0.25,0.4,3.4026097745580977,45.45454545454545,0.02,0.008206321387602649,0.0,0.014296163289668914,6.0
100,10,0,11461019204192818692,0.5,0.0,2.939237574311394,50.505050505050505,0.4438497136829649,-0.023833734842276785,0.3105590062111801,0.43183895715301,6.0
101,10,1,18002059165070399312,0.5,0.0,3.4916148084699277,49.494949494949495,0.4171964008601242,0.006422918877888023,0.0,0.44432791592603443,6.0
102,10,2,12142876964362080882,0.5,0.0,3.236443312209787,48.484848484848484,0.3850511571095582,-0.026240389100730007,0.0,0.4459957125727779,6.0
103,10,3,2461935129382136199,0.5,0.0,3.022887576131615,36.36363636363637,0.37844707086087415,-0.009128988296874805,0.0,0.45283375817142657,6.0
104,10,4,10808887917043121414,0.5,0.0,3.162437381825153,56.56565656565657,0.3876644548927446,0.004461674094152011,0.60790273556231,0.4304707521313256,6.0
105,10,5,18149300661389745951,0.5,0.0,2.843365009209654,45.45454545454545,0.36973400571747794,-0.003784136233272037,0.3115264797507788,0.45188485798142025,6.0
106,10,6,15772927629628026002,0.5,0.0,3.101543617750916,44.44444444444444,0.4603916403691389,-0.016025381037453115,0.0,0.44125880457689765,6.0
107,10,7,4770103864057803179,0.5,0.0,3.34102324407596,53.535353535353536,0.23642236456187551,0.011743806965715468,0.0,0.4390440810898371,6.0
108,10,8,12761585724372939981,0.5,0.0,3.0579857179996806,48.484848484848484,0.39888799550112997,0.03280224181439551,0.30120481927710846,0.4350126156957704,6.0
109,10,9,3766445265493253168,0.5,0.0,3.4950804942275564,38.38383838383838,0.28211999455897974,-0.03401911824209777,0.3257328990228013,0.44235883161715966,6.0
110,11,0,9356439332153192948,0.5,0.05,3.7906244088927123,39.39393939393939,0.0504522555885395,0.002418592683083404,0.0,0.0697328408234194,6.0
111,11,1,14456035742975515268,0.5,0.05,3.450771817528324,45.45454545454545,0.02,0.004199252679688107,0.0,0.05682794437283717,6.0
112,11,2,2562757615628570934,0.5,0.05,2.9597285132294413,42.42424242424242,0.02,0.009510440560486912,0.0,0.058726939646615704,6.0
